<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume>
2023/07/01,12:25:00,30346.94000000,30359.29000000,30346.94000000,30358.30000000,13.49954000
2023/07/01,12:26:00,30358.30000000,30358.31000000,30324.03000000,30351.98000000,48.61579000
2023/07/01,12:27:00,30351.98000000,30351.99000000,30342.02000000,30343.54000000,21.50153000
2023/07/01,12:28:00,30343.54000000,30345.38000000,30331.03000000,30345.38000000,19.38777000
2023/07/01,12:29:00,30345.37000000,30358.00000000,30345.37000000,30357.08000000,20.13793000
2023/07/01,12:30:00,30357.08000000,30357.09000000,30330.00000000,30333.13000000,41.58605000
2023/07/01,12:31:00,30333.14000000,30340.94000000,30326.80000000,30340.93000000,89.11256000
2023/07/01,12:32:00,30340.93000000,30357.39000000,30330.00000000,30357.38000000,83.50093000
2023/07/01,12:33:00,30357.39000000,30357.39000000,30356.19000000,30356.20000000,24.48055000
2023/07/01,12:34:00,30356.19000000,30356.20000000,30354.10000000,30355.99000000,16.08755000
2023/07/01,12:35:00,30356.00000000,30370.65000000,30355.99000000,30370.64000000,47.75456000
2023/07/01,12:36:00,30370.64000000,30376.84000000,30370.64000000,30376.83000000,10.43069000
2023/07/01,12:37:00,30376.84000000,30388.61000000,30376.83000000,30386.01000000,26.70442000
2023/07/01,12:38:00,30386.02000000,30391.88000000,30386.01000000,30391.87000000,8.71951000
2023/07/01,12:39:00,30391.88000000,30391.88000000,30386.25000000,30386.26000000,6.51063000
2023/07/01,12:40:00,30386.25000000,30403.80000000,30386.25000000,30402.81000000,20.53908000
2023/07/01,12:41:00,30402.81000000,30402.81000000,30383.00000000,30383.01000000,57.20868000
2023/07/01,12:42:00,30383.00000000,30383.01000000,30375.23000000,30377.98000000,11.48412000
2023/07/01,12:43:00,30377.98000000,30377.99000000,30377.98000000,30377.99000000,7.52034000
2023/07/01,12:44:00,30377.99000000,30384.00000000,30377.98000000,30384.00000000,3.33797000
2023/07/01,12:45:00,30383.99000000,30395.42000000,30362.11000000,30395.41000000,33.31099000
2023/07/01,12:46:00,30395.41000000,30401.63000000,30395.41000000,30401.62000000,8.94170000
2023/07/01,12:47:00,30401.62000000,30401.63000000,30392.77000000,30398.17000000,5.53416000
2023/07/01,12:48:00,30398.16000000,30399.50000000,30396.04000000,30396.04000000,3.34323000
2023/07/01,12:49:00,30396.04000000,30396.06000000,30396.04000000,30396.05000000,12.26849000
2023/07/01,12:50:00,30396.05000000,30401.63000000,30396.05000000,30401.63000000,8.15569000
2023/07/01,12:51:00,30401.63000000,30401.63000000,30400.00000000,30400.01000000,4.29745000
2023/07/01,12:52:00,30400.00000000,30400.01000000,30398.06000000,30398.07000000,2.05066000
